FileName,Compressor,Pow
AccessLog,BWT,15
AccessLog,LZ77,17
AccessLog,PPMD,15
FirewallLog,BWT,16
FirewallLog,LZ77,18
FirewallLog,PPMD,15
Gutenberg,BWT,15
Gutenberg,LZ77,17
Gutenberg,PPMD,13
HDFS,BWT,15
HDFS,LZ77,18
HDFS,PPMD,14
LinuxSysLog,BWT,16
LinuxSysLog,LZ77,18
LinuxSysLog,PPMD,15
Thunderbird,BWT,16
Thunderbird,LZ77,18
Thunderbird,PPMD,15
Wiki,BWT,15
Wiki,LZ77,17
Wiki,PPMD,13
Liberty,BWT,15
Liberty,LZ77,18
Liberty,PPMD,14
Spark,BWT,15
Spark,LZ77,18
Spark,PPMD,14
Spirit,BWT,15
Spirit,LZ77,18
Spirit,PPMD,14
Windows,BWT,15
Windows,LZ77,18
Windows,PPMD,14
